no,lat,lon,nama,jalan,kelurahan,kecamatan,display
1,3.5614514680227503,98.66211549192717,Jalan Jamin Ginting,Jalan Jamin Ginting,Padang Bulan,Medan Baru,Jalan Jamin Ginting
2,3.5900120229791534,98.66591927725689,Pasar Petisah,Jalan Nibung II,Petisah Tengah,Medan Petisah,Pasar Petisah
3,3.5868425139442404,98.65278718155488,Hotel Grand Darussalam Syariah,Jalan Darussalam,Sei Sikambing D,Medan Petisah,Hotel Grand Darussalam Syariah
4,3.570652147892831,98.66875169005537,RSU Prof Dr Boloni,Gang Baru,Polonia,Medan Polonia,RSU Prof Dr Boloni
5,3.576391622556746,98.64248749865135,,,Tanjung Rejo,Medan Sunggal,Tidak dikenal
6,3.579561167794272,98.70231149018271,,,Sukaramai I,Medan Area,Tidak dikenal
7,3.5699668350864493,98.70608804058068,,,Binjai,Medan Denai,Tidak dikenal
8,3.561571711734653,98.63673684236356,Jalan Kenanga Raya,Jalan Kenanga Raya,Tanjung Sari,Medan Selayang,Jalan Kenanga Raya
9,3.5941238020906106,98.65613457849855,,,Sei Putih Tengah,Medan Petisah,Tidak dikenal
10,3.6074869560913143,98.67390153150711,Jalan K.L. Yos Sudarso,Jalan K.L. Yos Sudarso,Glugur Kota,Medan Barat,Jalan K.L. Yos Sudarso
11,3.558232317962775,98.69874333863861,,,Sudirejo I,Medan Kota,Tidak dikenal
12,3.5636720437192286,98.69385098925943,,Gang Tanawi,Teladan Barat,Medan Kota,Gang Tanawi
13,3.6155079390471023,98.68219290002031,Jalan Ps. Inpres Pendidikan,Jalan Ps. Inpres Pendidikan,Glugur Darat I,Medan Timur,Jalan Ps. Inpres Pendidikan
14,3.551909421054474,98.68713379311174,,,Kampung Baru,Medan Maimun,Tidak dikenal
15,3.5525094908886854,98.63836640845716,,,Padang Bulan Selayang II,Medan Selayang,Tidak dikenal
16,3.6009418594587843,98.70163996191148,,,Sei Kera Hilir I,Medan Perjuangan,Tidak dikenal
17,3.577095303299369,98.69389803122063,,,Kotamatsum IV,Medan Area,Tidak dikenal
18,3.612769441374249,98.63266796932946,Jalan Kemuning XII,Jalan Kemuning XII,Helvetia,Medan Helvetia,Jalan Kemuning XII
19,3.609133295816863,98.6969759926023,,,Sidorejo,Medan Tembung,Tidak dikenal
20,3.6236253800714873,98.669947239148,,,Pulo Brayan Kota,Medan Barat,Tidak dikenal
21,3.5841180656162215,98.7057314079478,Jalan Selam VI,Jalan Selam VI,Tegal Sari I,Medan Area,Jalan Selam VI
22,3.581399294196185,98.61741849260234,,,Sunggal,Medan Sunggal,Tidak dikenal
23,3.5773731213068016,98.61209698976883,Jalan T. B. Simatupang,Jalan T. B. Simatupang,Sunggal,Medan Sunggal,Jalan T. B. Simatupang
24,3.574120874029505,98.72172455449339,,,Binjai,Medan Denai,Tidak dikenal
25,3.5903540098631606,98.73271088292384,Jalan Salam I,Jalan Salam I,,,Jalan Salam I
26,3.58722733327513,98.7232265915835,,,,,Tidak dikenal
27,3.5143353625733886,98.6314893232932,Jalan Pinus 2,Jalan Pinus 2,Mangga,Medan Tuntungan,Jalan Pinus 2
28,3.545874163808697,98.71220098467492,,,Harjosari I,Medan Amplas,Tidak dikenal
29,3.554612092483228,98.70868192634954,,,Binjai,Medan Denai,Tidak dikenal
30,3.5837286288671995,98.62757418518433,,,Sei Sikambing B,Medan Sunggal,Tidak dikenal
31,3.616417768196837,98.66683957725691,,,Karang Berombak,Medan Barat,Tidak dikenal
32,3.6774855399392754,98.66483481587518,Jalan K. L. Yos Sudarso,Jalan K. L. Yos Sudarso,Kota Bangun,Medan Deli,Jalan K. L. Yos Sudarso
33,3.6025673360508454,98.57994064656602,,,,,Tidak dikenal
34,3.593966064376069,98.61832483812923,,,Lalang,Medan Sunggal,Tidak dikenal
35,3.5717253120053876,98.72694749900154,Gang Damai,Gang Damai,Denai,Medan Denai,Gang Damai
36,3.580420163614005,98.71896524475129,Jalan Srikandi,Jalan Srikandi,Tegal Sari Mandala III,Medan Denai,Jalan Srikandi
37,3.5203531908990358,98.6840371772569,Jalan Sempurna,Jalan Sempurna,Kedai Durian,Medan Johor,Jalan Sempurna
38,3.518066679282357,98.61577094707546,,,Kemenangan Tani,Medan Tuntungan,Tidak dikenal
39,3.6089538446137372,98.67380940845713,,,Glugur Kota,Medan Barat,Tidak dikenal
40,3.5904849913896553,98.61791732329321,,,Lalang,Medan Sunggal,Tidak dikenal
41,3.565833251822369,98.56598193020184,,,,,Tidak dikenal
42,3.7792268187811198,98.68219750052972,,,Belawan II,Medan Belawan,Tidak dikenal
43,3.491702585357997,98.5683670158752,,,,,Tidak dikenal
44,3.6847133596595762,98.67169649311174,,,Titi Papan,Medan Deli,Tidak dikenal
45,3.698241519942248,98.65124266191151,,,Rengas Pulau,Medan Marelan,Tidak dikenal
46,3.5221839232885777,98.67665229260234,Jalan Karya Jaya,Jalan Karya Jaya,Gedung Johor,Medan Johor,Jalan Karya Jaya
47,3.696039269825166,98.68654380002035,,Jalan Jalapermai 6,Besar,Medan Labuhan,Jalan Jalapermai 6
48,3.565997390343515,98.68993016983887,,,Teladan Barat,Medan Kota,Tidak dikenal
49,3.623001303060298,98.69912388518429,,,Indra Kasih,Medan Tembung,Tidak dikenal
50,3.4913128070867385,98.68496360052974,,,,,Tidak dikenal
51,3.7361303622833573,98.67657586983887,Jalan K. L. Yos Sudarso,Jalan K. L. Yos Sudarso,Pekan Labuhan,Medan Labuhan,Jalan K. L. Yos Sudarso
52,3.736772724096433,98.6767475312206,Jalan K. L. Yos Sudarso,Jalan K. L. Yos Sudarso,Pekan Labuhan,Medan Labuhan,Jalan K. L. Yos Sudarso
53,3.47475791180029,98.59682369260234,Jalan Kantor Camat,Jalan Kantor Camat,,,Jalan Kantor Camat
54,3.724059144448801,98.67850881536579,Jalan K. L. Yos Sudarso,Jalan K. L. Yos Sudarso,Pekan Labuhan,Medan Labuhan,Jalan K. L. Yos Sudarso
55,3.5441993324750563,98.71935575398405,,,Amplas,Medan Amplas,Tidak dikenal
